,task_name,learning_rate,num_train_epochs,max_train_steps,output_dir,hidden_dropout,train_data_frac,use_pretrain_dropout_in_first_pass,use_modded,eval_accuracy
82,wnli,5e-05,20,200,/content/drive/MyDrive/Masterarbeit/fantastic-umbrella/runs/run-20230614_134807,0.8,0.5,True,False,0.43661971830985913
83,wnli,5e-05,10,100,/content/drive/MyDrive/Masterarbeit/fantastic-umbrella/runs/run-20230614_134736,0.8,0.5,True,False,0.43661971830985913
84,wnli,5e-05,10,20,/content/drive/MyDrive/Masterarbeit/fantastic-umbrella/runs/run-20230614_134910,0.8,0.1,True,True,0.4225352112676056
85,wnli,5e-05,5,10,/content/drive/MyDrive/Masterarbeit/fantastic-umbrella/runs/run-20230614_134854,0.8,0.1,True,True,0.4225352112676056
86,wnli,5e-05,20,40,/content/drive/MyDrive/Masterarbeit/fantastic-umbrella/runs/run-20230614_134931,0.8,0.1,True,True,0.4225352112676056
87,wnli,5e-05,5,10,/content/drive/MyDrive/Masterarbeit/fantastic-umbrella/runs/run-20230614_135000,0.8,0.1,True,False,0.4225352112676056
88,wnli,5e-05,20,40,/content/drive/MyDrive/Masterarbeit/fantastic-umbrella/runs/run-20230614_135033,0.8,0.1,True,False,0.43661971830985913
89,wnli,5e-05,10,20,/content/drive/MyDrive/Masterarbeit/fantastic-umbrella/runs/run-20230614_135015,0.8,0.1,True,False,0.43661971830985913
90,wnli,5e-05,5,100,/content/drive/MyDrive/Masterarbeit/fantastic-umbrella/runs/run-20230614_135057,0.8,1.0,False,True,0.49295774647887325
91,wnli,5e-05,10,200,/content/drive/MyDrive/Masterarbeit/fantastic-umbrella/runs/run-20230614_135137,0.8,1.0,False,True,0.49295774647887325
92,wnli,5e-05,20,400,/content/drive/MyDrive/Masterarbeit/fantastic-umbrella/runs/run-20230614_135247,0.8,1.0,False,True,0.4788732394366197
93,wnli,5e-05,5,100,/content/drive/MyDrive/Masterarbeit/fantastic-umbrella/runs/run-20230614_135451,0.8,1.0,False,False,0.4225352112676056
94,wnli,5e-05,10,200,/content/drive/MyDrive/Masterarbeit/fantastic-umbrella/runs/run-20230614_135521,0.8,1.0,False,False,0.43661971830985913
95,wnli,5e-05,20,400,/content/drive/MyDrive/Masterarbeit/fantastic-umbrella/runs/run-20230614_135605,0.8,1.0,False,False,0.4788732394366197
96,wnli,5e-05,5,50,/content/drive/MyDrive/Masterarbeit/fantastic-umbrella/runs/run-20230614_135721,0.8,0.5,False,True,0.4225352112676056
97,wnli,5e-05,10,100,/content/drive/MyDrive/Masterarbeit/fantastic-umbrella/runs/run-20230614_135822,0.8,0.5,False,True,0.4507042253521127
98,wnli,5e-05,20,200,/content/drive/MyDrive/Masterarbeit/fantastic-umbrella/runs/run-20230614_135906,0.8,0.5,False,True,0.4507042253521127
99,wnli,5e-05,5,50,/content/drive/MyDrive/Masterarbeit/fantastic-umbrella/runs/run-20230614_140017,0.8,0.5,False,False,0.43661971830985913
100,wnli,5e-05,10,100,/content/drive/MyDrive/Masterarbeit/fantastic-umbrella/runs/run-20230614_140039,0.8,0.5,False,False,0.43661971830985913
101,wnli,5e-05,20,200,/content/drive/MyDrive/Masterarbeit/fantastic-umbrella/runs/run-20230614_140109,0.8,0.5,False,False,0.43661971830985913
102,wnli,5e-05,10,20,/content/drive/MyDrive/Masterarbeit/fantastic-umbrella/runs/run-20230614_140213,0.8,0.1,False,True,0.4225352112676056
103,wnli,5e-05,5,10,/content/drive/MyDrive/Masterarbeit/fantastic-umbrella/runs/run-20230614_140156,0.8,0.1,False,True,0.4225352112676056
104,wnli,5e-05,20,40,/content/drive/MyDrive/Masterarbeit/fantastic-umbrella/runs/run-20230614_140234,0.8,0.1,False,True,0.4225352112676056
105,wnli,5e-05,20,40,/content/drive/MyDrive/Masterarbeit/fantastic-umbrella/runs/run-20230614_140336,0.8,0.1,False,False,0.43661971830985913
106,wnli,5e-05,10,20,/content/drive/MyDrive/Masterarbeit/fantastic-umbrella/runs/run-20230614_140318,0.8,0.1,False,False,0.43661971830985913
107,wnli,5e-05,5,10,/content/drive/MyDrive/Masterarbeit/fantastic-umbrella/runs/run-20230614_140303,0.8,0.1,False,False,0.4225352112676056
108,wnli,1e-05,5,100,/content/drive/MyDrive/Masterarbeit/fantastic-umbrella/runs/run-20230614_140358,0.1,1.0,True,True,0.28169014084507044
109,wnli,1e-05,10,200,/content/drive/MyDrive/Masterarbeit/fantastic-umbrella/runs/run-20230614_140440,0.1,1.0,True,True,0.22535211267605634
110,wnli,1e-05,20,400,/content/drive/MyDrive/Masterarbeit/fantastic-umbrella/runs/run-20230614_140548,0.1,1.0,True,True,0.15492957746478872
111,wnli,1e-05,5,100,/content/drive/MyDrive/Masterarbeit/fantastic-umbrella/runs/run-20230614_140754,0.1,1.0,True,False,0.29577464788732394
112,wnli,1e-05,10,200,/content/drive/MyDrive/Masterarbeit/fantastic-umbrella/runs/run-20230614_140822,0.1,1.0,True,False,0.23943661971830985
113,wnli,1e-05,20,400,/content/drive/MyDrive/Masterarbeit/fantastic-umbrella/runs/run-20230614_140906,0.1,1.0,True,False,0.14084507042253522
114,wnli,1e-05,5,50,/content/drive/MyDrive/Masterarbeit/fantastic-umbrella/runs/run-20230614_141022,0.1,0.5,True,True,0.36619718309859156
115,wnli,1e-05,10,100,/content/drive/MyDrive/Masterarbeit/fantastic-umbrella/runs/run-20230614_141051,0.1,0.5,True,True,0.352112676056338
116,wnli,1e-05,20,200,/content/drive/MyDrive/Masterarbeit/fantastic-umbrella/runs/run-20230614_141133,0.1,0.5,True,True,0.30985915492957744
117,wnli,1e-05,10,100,/content/drive/MyDrive/Masterarbeit/fantastic-umbrella/runs/run-20230614_141307,0.1,0.5,True,False,0.30985915492957744
118,wnli,1e-05,5,50,/content/drive/MyDrive/Masterarbeit/fantastic-umbrella/runs/run-20230614_141246,0.1,0.5,True,False,0.36619718309859156
119,wnli,1e-05,20,200,/content/drive/MyDrive/Masterarbeit/fantastic-umbrella/runs/run-20230614_141338,0.1,0.5,True,False,0.30985915492957744
120,wnli,1e-05,5,10,/content/drive/MyDrive/Masterarbeit/fantastic-umbrella/runs/run-20230614_141426,0.1,0.1,True,True,0.49295774647887325
121,wnli,1e-05,10,20,/content/drive/MyDrive/Masterarbeit/fantastic-umbrella/runs/run-20230614_141445,0.1,0.1,True,True,0.43661971830985913
122,wnli,1e-05,20,40,/content/drive/MyDrive/Masterarbeit/fantastic-umbrella/runs/run-20230614_141506,0.1,0.1,True,True,0.43661971830985913
123,wnli,1e-05,10,20,/content/drive/MyDrive/Masterarbeit/fantastic-umbrella/runs/run-20230614_141549,0.1,0.1,True,False,0.4084507042253521
124,wnli,1e-05,5,10,/content/drive/MyDrive/Masterarbeit/fantastic-umbrella/runs/run-20230614_141534,0.1,0.1,True,False,0.49295774647887325
125,wnli,1e-05,5,100,/content/drive/MyDrive/Masterarbeit/fantastic-umbrella/runs/run-20230614_141631,0.1,1.0,False,True,0.28169014084507044
126,wnli,1e-05,20,40,/content/drive/MyDrive/Masterarbeit/fantastic-umbrella/runs/run-20230614_141607,0.1,0.1,True,False,0.4225352112676056
127,wnli,1e-05,10,200,/content/drive/MyDrive/Masterarbeit/fantastic-umbrella/runs/run-20230614_141711,0.1,1.0,False,True,0.23943661971830985
128,wnli,1e-05,20,400,/content/drive/MyDrive/Masterarbeit/fantastic-umbrella/runs/run-20230614_141820,0.1,1.0,False,True,0.16901408450704225
129,wnli,1e-05,5,100,/content/drive/MyDrive/Masterarbeit/fantastic-umbrella/runs/run-20230614_142025,0.1,1.0,False,False,0.29577464788732394
130,wnli,1e-05,10,200,/content/drive/MyDrive/Masterarbeit/fantastic-umbrella/runs/run-20230614_142054,0.1,1.0,False,False,0.23943661971830985
131,wnli,1e-05,20,400,/content/drive/MyDrive/Masterarbeit/fantastic-umbrella/runs/run-20230614_142138,0.1,1.0,False,False,0.14084507042253522
132,wnli,1e-05,10,100,/content/drive/MyDrive/Masterarbeit/fantastic-umbrella/runs/run-20230614_142320,0.1,0.5,False,True,0.323943661971831
133,wnli,1e-05,5,50,/content/drive/MyDrive/Masterarbeit/fantastic-umbrella/runs/run-20230614_142253,0.1,0.5,False,True,0.352112676056338
134,wnli,1e-05,20,200,/content/drive/MyDrive/Masterarbeit/fantastic-umbrella/runs/run-20230614_142402,0.1,0.5,False,True,0.29577464788732394
135,wnli,1e-05,10,100,/content/drive/MyDrive/Masterarbeit/fantastic-umbrella/runs/run-20230614_142536,0.1,0.5,False,False,0.30985915492957744
136,wnli,1e-05,5,50,/content/drive/MyDrive/Masterarbeit/fantastic-umbrella/runs/run-20230614_142514,0.1,0.5,False,False,0.36619718309859156
137,wnli,1e-05,20,200,/content/drive/MyDrive/Masterarbeit/fantastic-umbrella/runs/run-20230614_142605,0.1,0.5,False,False,0.30985915492957744
138,wnli,1e-05,10,20,/content/drive/MyDrive/Masterarbeit/fantastic-umbrella/runs/run-20230614_142708,0.1,0.1,False,True,0.43661971830985913
