"Name","State","Notes","User","Tags","Created","Runtime","Sweep","beta1","beta2","catch_dropout","early_stopping_min_delta","early_stopping_patience","gradient_accumulation_steps","ignore_mismatched_sizes","insert_dropout","learning_rate","lr_scheduler_type","max_length","max_train_steps","model_name_or_path","num_train_epochs","num_warmup_steps","original_gradient_fraction","output_dir","pad_to_max_length","param_config_id","per_device_eval_batch_size","per_device_train_batch_size","push_to_hub","report_to","run_generation","seed","task_name","train_data_frac","training_size","use_modded","use_slow_tokenizer","warmup_steps_fraction","weight_decay","with_tracking","evaluation_steps","accuracy","accuracy.max","avg_eval_p_max","avg_eval_p_var","avg_train_p_max","avg_train_p_var","best_accuracy","best_accuracy_epoch","best_accuracy_step","best_eval_loss","best_eval_loss_epoch","best_eval_loss_step","best_f1","best_f1_epoch","best_f1_step","best_matthews_correlation","best_matthews_correlation_epoch","best_matthews_correlation_step","best_pearson","best_pearson_epoch","best_pearson_step","best_spearmanr","best_spearmanr_epoch","best_spearmanr_step","epoch","eval_loss","eval_loss.min","f1","matthews_correlation","pearson","spearmanr","train_loss","avg_grad_diff_all_classes","avg_grad_diff_per_class","avg_train_p0","eval_p_max","eval_p_var","train_p_max","train_p_var"
"run_07_282_modded","finished","-","ricu","gen_07","2023-09-04T08:03:39.000Z","3662","","0.9","0.999","0.05","0","10","1","false","0.2","2e-7","linear","128","128","bert-large-uncased","128","100","","/home/lange/fantastic-umbrella/runs/run_07_282_modded","false","","8","32","false","all","","0","rte","","32","true","false","","0","true","","0.5042047531992687","","","","","","","","","","","","","","","","","","","","","","","","127","0.7498032419305098","","","","","","0.6703481674194336","","","","","","",""
"run_07_111_modded","finished","-","ricu","gen_07","2023-08-28T15:35:03.000Z","1038","","0.9","0.999","0.05","0","10","1","false","0.1","0.000001","linear","128","9984","bert-base-cased","128","500","","/home/lange/fantastic-umbrella/runs/run_07_111_modded","false","","8","32","false","all","","0","rte","","1","true","false","","0","true","","0.6606498194945848","","","","","","","","","","","","","","","","","","","","","","","","20","0.6566994258335659","","","","","","0.3680232121394231","","","","","","",""
"run_07_175_modded","finished","-","ricu","gen_07","2023-08-29T14:44:02.000Z","2232","","0.9","0.999","0.05","0","10","1","false","0.1","2e-7","linear","128","9984","bert-base-cased","128","500","","/home/lange/fantastic-umbrella/runs/run_07_175_modded","false","","8","32","false","all","","0","rte","","1","true","false","","0","true","","0.631768953068592","","","","","","","","","","","","","","","","","","","","","","","","54","0.6600520542689732","","","","","","0.5895485022129157","","","","","","",""
"run_07_183_modded","finished","-","ricu","gen_07","2023-08-29T19:24:22.000Z","4572","","0.9","0.999","0","0","10","1","false","0.2","2e-7","linear","128","9984","bert-base-cased","128","500","","/home/lange/fantastic-umbrella/runs/run_07_183_modded","false","","8","32","false","all","","0","rte","","1","true","false","","0","true","","0.6462093862815884","","","","","","","","","","","","","","","","","","","","","","","","108","0.6520762852260045","","","","","","0.637125259790665","","","","","","",""
"run_07_037_vanilla","finished","-","ricu","gen_07","2023-08-25T20:24:19.000Z","1225","","0.9","0.999","-1","0","10","1","false","0.1","2e-7","linear","128","4992","bert-base-cased","128","500","","/home/lange/fantastic-umbrella/runs/run_07_037_vanilla","false","","8","32","false","all","","0","rte","","0.5","false","false","","0","true","","0.6044678055190539","","","","","","","","","","","","","","","","","","","","","","","","77","0.6764568708329924","","","","","","0.5980577713403946","","","","","","",""
"run_07_106_modded","finished","-","ricu","gen_07","2023-08-28T14:13:56.000Z","1234","","0.9","0.999","0.05","0","10","1","false","0.1","0.000001","linear","128","128","bert-base-cased","128","100","","/home/lange/fantastic-umbrella/runs/run_07_106_modded","false","","8","32","false","all","","0","rte","","32","true","false","","0","true","","0.4840950639853748","","","","","","","","","","","","","","","","","","","","","","","","127","0.7150319863481132","","","","","","0.5707865357398987","","","","","","",""
"run_07_220_modded","finished","-","ricu","gen_07","2023-08-31T00:28:00.000Z","2921","","0.9","0.999","0.05","0","10","1","false","0.2","0.000001","linear","128","4992","bert-large-uncased","128","100","","/home/lange/fantastic-umbrella/runs/run_07_220_modded","false","","8","32","false","all","","0","rte","","0.5","true","false","","0","true","","0.6189224704336399","","","","","","","","","","","","","","","","","","","","","","","","37","0.6586839765778387","","","","","","0.6007907084929638","","","","","","",""
"run_07_008_vanilla","finished","-","ricu","gen_07","2023-08-25T14:11:49.000Z","506","","0.9","0.999","-1","0","10","1","false","0.15","0.000001","linear","128","128","bert-base-cased","128","50","","/home/lange/fantastic-umbrella/runs/run_07_008_vanilla","false","","8","32","false","all","","0","rte","","2","false","false","","0","true","","0.4835443037974684","","","","","","","","","","","","","","","","","","","","","","","","65","0.72542095735583","","","","","","0.3690018653869629","","","","","","",""
"run_07_121_modded","finished","-","ricu","gen_07","2023-08-28T18:33:56.000Z","1189","","0.9","0.999","0.05","0","10","1","false","0.2","0.000001","linear","128","128","bert-base-cased","128","500","","/home/lange/fantastic-umbrella/runs/run_07_121_modded","false","","8","32","false","all","","0","rte","","2","true","false","","0","true","","0.48318264014466544","","","","","","","","","","","","","","","","","","","","","","","","127","0.72893078754403","","","","","","0.604403555393219","","","","","","",""
"run_07_222_modded","finished","-","ricu","gen_07","2023-08-31T02:14:41.000Z","3941","","0.9","0.999","0.05","0","10","1","false","0.2","0.000001","linear","128","9984","bert-large-uncased","128","100","","/home/lange/fantastic-umbrella/runs/run_07_222_modded","false","","8","32","false","all","","0","rte","","1","true","false","","0","true","","0.6606498194945848","","","","","","","","","","","","","","","","","","","","","","","","30","0.6408186776297433","","","","","","0.6527332403720953","","","","","","",""
"run_07_277_modded","finished","-","ricu","gen_07","2023-09-03T18:09:13.000Z","10347","","0.9","0.999","0","0","10","1","false","0.2","2e-7","linear","128","4992","bert-large-uncased","128","500","","/home/lange/fantastic-umbrella/runs/run_07_277_modded","false","","8","32","false","all","","0","rte","","0.5","true","false","","0","true","","0.5578186596583443","","","","","","","","","","","","","","","","","","","","","","","","127","0.6836092484559064","","","","","","0.6864999624399039","","","","","","",""
"run_07_216_modded","finished","-","ricu","gen_07","2023-08-30T21:19:32.000Z","1490","","0.9","0.999","0.05","0","10","1","false","0.2","0.000001","linear","128","128","bert-large-uncased","128","100","","/home/lange/fantastic-umbrella/runs/run_07_216_modded","false","","8","32","false","all","","0","rte","","2","true","false","","0","true","","0.5041591320072333","","","","","","","","","","","","","","","","","","","","","","","","53","0.7552514930680997","","","","","","0.6410679817199707","","","","","","",""
"run_07_225_modded","finished","-","ricu","gen_07","2023-08-31T04:59:01.000Z","3239","","0.9","0.999","0","0","10","1","false","0.1","5e-7","linear","128","128","bert-large-uncased","128","500","","/home/lange/fantastic-umbrella/runs/run_07_225_modded","false","","8","32","false","all","","0","rte","","2","true","false","","0","true","","0.5041591320072333","","","","","","","","","","","","","","","","","","","","","","","","116","0.7561699310479136","","","","","","0.6995669603347778","","","","","","",""
"run_07_279_modded","finished","-","ricu","gen_07","2023-09-04T01:43:30.000Z","16338","","0.9","0.999","0","0","10","1","false","0.2","2e-7","linear","128","9984","bert-large-uncased","128","500","","/home/lange/fantastic-umbrella/runs/run_07_279_modded","false","","8","32","false","all","","0","rte","","1","true","false","","0","true","","0.6101083032490975","","","","","","","","","","","","","","","","","","","","","","","","127","0.6699735913957868","","","","","","0.6721165974934896","","","","","","",""
"run_07_078_vanilla","finished","-","ricu","gen_07","2023-08-27T03:27:46.000Z","4166","","0.9","0.999","-1","0","10","1","false","0.15","5e-7","linear","128","9984","bert-large-uncased","128","50","","/home/lange/fantastic-umbrella/runs/run_07_078_vanilla","false","","8","32","false","all","","0","rte","","1","false","false","","0","true","","0.6425992779783394","","","","","","","","","","","","","","","","","","","","","","","","49","0.6446592058454241","","","","","","0.47568242977827024","","","","","","",""
"run_07_023_vanilla","finished","-","ricu","gen_07","2023-08-25T16:59:47.000Z","575","","0.9","0.999","-1","0","10","1","false","0.1","5e-7","linear","128","9984","bert-base-cased","128","500","","/home/lange/fantastic-umbrella/runs/run_07_023_vanilla","false","","8","32","false","all","","0","rte","","1","false","false","","0","true","","0.6498194945848376","","","","","","","","","","","","","","","","","","","","","","","","26","0.661539568219866","","","","","","0.5144691956348908","","","","","","",""
"run_07_209_modded","finished","-","ricu","gen_07","2023-08-30T14:53:14.000Z","2222","","0.9","0.999","0","0","10","1","false","0.2","0.000001","linear","128","128","bert-large-uncased","128","500","","/home/lange/fantastic-umbrella/runs/run_07_209_modded","false","","8","32","false","all","","0","rte","","2","true","false","","0","true","","0.5041591320072333","","","","","","","","","","","","","","","","","","","","","","","","95","0.7555079818460982","","","","","","0.6747644543647766","","","","","","",""
"run_07_117_modded","finished","-","ricu","gen_07","2023-08-28T17:23:19.000Z","977","","0.9","0.999","0","0","10","1","false","0.2","0.000001","linear","128","4992","bert-base-cased","128","500","","/home/lange/fantastic-umbrella/runs/run_07_117_modded","false","","8","32","false","all","","0","rte","","0.5","true","false","","0","true","","0.6360052562417872","","","","","","","","","","","","","","","","","","","","","","","","33","0.6643367987028591","","","","","","0.54235962109688","","","","","","",""
"run_07_202_modded","finished","-","ricu","gen_07","2023-08-30T09:47:28.000Z","3228","","0.9","0.999","0.05","0","10","1","false","0.1","0.000001","linear","128","128","bert-large-uncased","128","100","","/home/lange/fantastic-umbrella/runs/run_07_202_modded","false","","8","32","false","all","","0","rte","","32","true","false","","0","true","","0.5042047531992687","","","","","","","","","","","","","","","","","","","","","","","","127","0.72576377824036","","","","","","0.6521616578102112","","","","","","",""
"run_07_027_vanilla","finished","-","ricu","gen_07","2023-08-25T17:55:39.000Z","1016","","0.9","0.999","-1","0","10","1","false","0.15","5e-7","linear","128","128","bert-base-cased","128","500","","/home/lange/fantastic-umbrella/runs/run_07_027_vanilla","false","","8","32","false","all","","0","rte","","32","false","false","","0","true","","0.48336380255941497","","","","","","","","","","","","","","","","","","","","","","","","127","0.7324056792677495","","","","","","0.6825668215751648","","","","","","",""
"run_07_265_modded","finished","-","ricu","gen_07","2023-09-02T16:53:11.000Z","3817","","0.9","0.999","0.05","0","10","1","false","0.1","2e-7","linear","128","128","bert-large-uncased","128","500","","/home/lange/fantastic-umbrella/runs/run_07_265_modded","false","","8","32","false","all","","0","rte","","2","true","false","","0","true","","0.5041591320072333","","","","","","","","","","","","","","","","","","","","","","","","127","0.7564216569668984","","","","","","0.6743144392967224","","","","","","",""
"run_07_074_vanilla","finished","-","ricu","gen_07","2023-08-26T22:18:21.000Z","4409","","0.9","0.999","-1","0","10","1","false","0.15","5e-7","linear","128","128","bert-large-uncased","128","50","","/home/lange/fantastic-umbrella/runs/run_07_074_vanilla","false","","8","32","false","all","","0","rte","","32","false","false","","0","true","","0.5042047531992687","","","","","","","","","","","","","","","","","","","","","","","","127","0.7415435077154149","","","","","","0.6818767786026001","","","","","","",""
"run_07_158_modded","finished","-","ricu","gen_07","2023-08-29T06:52:21.000Z","1711","","0.9","0.999","0.05","0","10","1","false","0.2","5e-7","linear","128","9984","bert-base-cased","128","100","","/home/lange/fantastic-umbrella/runs/run_07_158_modded","false","","8","32","false","all","","0","rte","","1","true","false","","0","true","","0.6606498194945848","","","","","","","","","","","","","","","","","","","","","","","","36","0.6539261409214565","","","","","","0.6053484403170072","","","","","","",""
"run_07_243_modded","finished","-","ricu","gen_07","2023-09-01T00:01:39.000Z","3414","","0.9","0.999","0","0","10","1","false","0.2","5e-7","linear","128","128","bert-large-uncased","128","500","","/home/lange/fantastic-umbrella/runs/run_07_243_modded","false","","8","32","false","all","","0","rte","","32","true","false","","0","true","","0.5042047531992687","","","","","","","","","","","","","","","","","","","","","","","","127","0.752174957453856","","","","","","0.6691406965255737","","","","","","",""
"run_07_003_vanilla","finished","-","ricu","gen_07","2023-08-25T13:28:17.000Z","947","","0.9","0.999","-1","0","10","1","false","0.1","0.000001","linear","128","128","bert-base-cased","128","500","","/home/lange/fantastic-umbrella/runs/run_07_003_vanilla","false","","8","32","false","all","","0","rte","","32","false","false","","0","true","","0.48336380255941497","","","","","","","","","","","","","","","","","","","","","","","","127","0.7297688088221856","","","","","","0.6784792542457581","","","","","","",""
