"Name","Runtime","Notes","Tags","ID","State","User","Group","Job Type","Created","Updated","End Time","Sweep","Hostname","Description","Commit","GitHub","GPU Count","GPU Type","catch_dropout","insert_dropout","learning_rate","max_train_steps","model_name_or_path","num_warmup_steps","training_size","use_modded","beta1","beta2","early_stopping_min_delta","early_stopping_patience","evaluation_steps","gradient_accumulation_steps","ignore_mismatched_sizes","lr_scheduler_type","max_length","num_train_epochs","original_gradient_fraction","output_dir","pad_to_max_length","param_config_id","per_device_eval_batch_size","per_device_train_batch_size","push_to_hub","report_to","run_generation","seed","task_name","train_data_frac","use_slow_tokenizer","warmup_steps_fraction","weight_decay","with_tracking","accuracy","epoch","eval_loss","train_loss","accuracy.max","avg_eval_p_max","avg_eval_p_var","avg_grad_diff_all_classes","avg_grad_diff_per_class","avg_train_p0","avg_train_p_max","avg_train_p_var","best_accuracy","best_accuracy_epoch","best_accuracy_step","best_eval_loss","best_eval_loss_epoch","best_eval_loss_step","best_f1","best_f1_epoch","best_f1_step","best_matthews_correlation","best_matthews_correlation_epoch","best_matthews_correlation_step","best_pearson","best_pearson_epoch","best_pearson_step","best_spearmanr","best_spearmanr_epoch","best_spearmanr_step","eval_loss.min","eval_p_max","eval_p_var","f1","matthews_correlation","pearson","spearmanr","train_p_max","train_p_var"
"sweep_12a_02_modded/run_012","286","-","gen_12","xudrlgj2","finished","ricu","","","2023-10-21T13:47:43.000Z","2023-10-21T13:52:29.000Z","2023-10-21T13:52:29.000Z","","drax","","","","2","NVIDIA A40","0","0.15","0.000005","1950","bert-base-cased","390","1","","0.9","0.999","0","5","","1","false","linear","128","50","0","/home/lange/fantastic-umbrella/runs/sweep_12a_02_modded/run_012","false","pcid_0043","32","32","false","all","12a","2","rte","","false","0.1","0.01","true","0.6642599277978339","17","1.2092463493347168","0.09184562854277782","","0.9326711893081664","0.3950227200984955","","","","0.9650776386260986","0.4413953423500061","0.6750902527075813","12","507","0.6581004142761231","5","234","","","","","","","","","","","","","","","","","","","","",""
"sweep_12a_02_modded/run_011","246","-","gen_12","l64rezsb","finished","ricu","","","2023-10-21T13:03:44.000Z","2023-10-21T13:07:50.000Z","2023-10-21T13:07:50.000Z","","drax","","","","2","NVIDIA A40","0","0.15","0.000005","780","bert-base-cased","156","1","","0.9","0.999","0","5","","1","false","linear","128","20","0","/home/lange/fantastic-umbrella/runs/sweep_12a_02_modded/run_011","false","pcid_0041","32","32","false","all","12a","3","rte","","false","0.1","0.01","true","0.6570397111913358","15","1.0716782569885257","0.2041455782376803","","0.9400972723960876","0.40706053376197815","","","","0.9477380514144896","0.4162571430206299","0.6750902527075813","10","429","0.6304357051849365","3","156","","","","","","","","","","","","","","","","","","","","",""
"sweep_12a_02_modded/run_002","176","-","gen_12","mps3jec1","finished","ricu","","","2023-10-21T10:01:09.000Z","2023-10-21T10:04:05.000Z","2023-10-21T10:04:05.000Z","","drax","","","","2","NVIDIA A40","0","0.1","0.00001","780","bert-base-cased","156","1","","0.9","0.999","0","5","","1","false","linear","128","20","0","/home/lange/fantastic-umbrella/runs/sweep_12a_02_modded/run_002","false","pcid_0032","32","32","false","all","12a","3","rte","","false","0.1","0.01","true","0.6389891696750902","11","1.3893647193908691","0.05441465133275741","","0.9512172937393188","0.42915913462638855","","","","0.9814730286598206","0.467296838760376","0.6750902527075813","6","273","0.6365615844726562","1","78","","","","","","","","","","","","","","","","","","","","",""
"sweep_12a_02_modded/run_005","193","-","gen_12","92bmv3h7","finished","ricu","","","2023-10-21T11:33:55.000Z","2023-10-21T11:37:08.000Z","2023-10-21T11:37:08.000Z","","drax","","","","2","NVIDIA A40","0.02","0.1","0.000005","780","bert-base-cased","156","1","","0.9","0.999","0","5","","1","false","linear","128","20","0","/home/lange/fantastic-umbrella/runs/sweep_12a_02_modded/run_005","false","pcid_0037","32","32","false","all","12a","1","rte","","false","0.1","0.01","true","0.6606498194945848","12","1.030106258392334","0.128169609950139","","0.9323871731758118","0.3973425030708313","","","","0.9567862153053284","0.4264819324016571","0.6750902527075813","7","312","0.6516967296600342","3","156","","","","","","","","","","","","","","","","","","","","",""
"sweep_12a_02_modded/run_010","204","-","gen_12","q81b9m3o","finished","ricu","","","2023-10-21T12:47:04.000Z","2023-10-21T12:50:28.000Z","2023-10-21T12:50:28.000Z","","drax","","","","2","NVIDIA A40","0","0.15","0.00001","780","bert-base-cased","156","1","","0.9","0.999","0","5","","1","false","linear","128","20","0","/home/lange/fantastic-umbrella/runs/sweep_12a_02_modded/run_010","false","pcid_0040","32","32","false","all","12a","3","rte","","false","0.1","0.01","true","0.6570397111913358","12","1.2614017486572269","0.11357495723626553","","0.9526732563972472","0.4289133548736572","","","","0.9716269969940186","0.4539703130722046","0.6714801444043321","7","312","0.6392922401428223","3","156","","","","","","","","","","","","","","","","","","","","",""
"sweep_12a_02_modded/run_006","277","-","gen_12","oa5fufwy","finished","ricu","","","2023-10-21T10:49:59.000Z","2023-10-21T10:54:36.000Z","2023-10-21T10:54:36.000Z","","drax","","","","2","NVIDIA A40","0","0.1","0.00001","1950","bert-base-cased","390","1","","0.9","0.999","0","5","","1","false","linear","128","50","0","/home/lange/fantastic-umbrella/runs/sweep_12a_02_modded/run_006","false","pcid_0034","32","32","false","all","12a","5","rte","","false","0.1","0.01","true","0.6245487364620939","18","1.5536981582641602","0.051456885460095525","","0.9757469296455384","0.4593314826488495","","","","0.9870384335517884","0.4774790108203888","0.6714801444043321","13","546","0.6576022148132324","2","117","","","","","","","","","","","","","","","","","","","","",""
"sweep_12a_02_modded/run_014","210","-","gen_12","qa54150v","finished","ricu","","","2023-10-21T13:57:53.000Z","2023-10-21T14:01:23.000Z","2023-10-21T14:01:23.000Z","","drax","","","","2","NVIDIA A40","0","0.15","0.000005","1950","bert-base-cased","390","1","","0.9","0.999","0","5","","1","false","linear","128","50","0","/home/lange/fantastic-umbrella/runs/sweep_12a_02_modded/run_014","false","pcid_0043","32","32","false","all","12a","4","rte","","false","0.1","0.01","true","0.6606498194945848","12","1.0934314727783203","0.12386155739808694","","0.9342839121818542","0.3985077738761902","","","","0.9645791053771972","0.4383071959018707","0.6714801444043321","7","312","0.6591915130615235","3","156","","","","","","","","","","","","","","","","","","","","",""
"sweep_12a_02_modded/run_009","280","-","gen_12","tv3tclas","finished","ricu","","","2023-10-21T12:18:38.000Z","2023-10-21T12:23:18.000Z","2023-10-21T12:23:18.000Z","","drax","","","","2","NVIDIA A40","0.02","0.1","0.000005","1950","bert-base-cased","390","1","","0.9","0.999","0","5","","1","false","linear","128","50","0","/home/lange/fantastic-umbrella/runs/sweep_12a_02_modded/run_009","false","pcid_0039","32","32","false","all","12a","3","rte","","false","0.1","0.01","true","0.6678700361010831","17","1.1777921676635743","0.05859823715992463","","0.9501937031745912","0.4232467114925385","","","","0.9777715802192688","0.4620877206325531","0.6714801444043321","12","507","0.6407777786254882","3","156","","","","","","","","","","","","","","","","","","","","",""
"sweep_12a_02_modded/run_007","207","-","gen_12","f6kstkd4","finished","ricu","","","2023-10-21T11:25:55.000Z","2023-10-21T11:29:22.000Z","2023-10-21T11:29:22.000Z","","drax","","","","2","NVIDIA A40","0.02","0.1","0.00001","780","bert-base-cased","156","1","","0.9","0.999","0","5","","1","false","linear","128","20","0","/home/lange/fantastic-umbrella/runs/sweep_12a_02_modded/run_007","false","pcid_0036","32","32","false","all","12a","4","rte","","false","0.1","0.01","true","0.6534296028880866","13","1.2258382797241212","0.026970774699480105","","0.9502129554748536","0.4244600236415863","","","","0.9906893372535706","0.4823966324329376","0.6714801444043321","8","351","0.6582924842834472","1","78","","","","","","","","","","","","","","","","","","","","",""
"sweep_12a_02_modded/run_003","173","-","gen_12","t90jls3m","finished","ricu","","","2023-10-21T10:39:34.000Z","2023-10-21T10:42:27.000Z","2023-10-21T10:42:27.000Z","","drax","","","","2","NVIDIA A40","0","0.1","0.00001","1950","bert-base-cased","390","1","","0.9","0.999","0","5","","1","false","linear","128","50","0","/home/lange/fantastic-umbrella/runs/sweep_12a_02_modded/run_003","false","pcid_0034","32","32","false","all","12a","2","rte","","false","0.1","0.01","true","0.6570397111913358","11","1.171548843383789","0.05781265405508188","","0.9461550712585448","0.4165545403957367","","","","0.977379322052002","0.4598990380764008","0.6714801444043321","6","273","0.6312286376953125","3","156","","","","","","","","","","","","","","","","","","","","",""
"sweep_12a_02_modded/run_012","156","-","gen_12","x074ul1g","finished","ricu","","","2023-10-21T12:53:41.000Z","2023-10-21T12:56:17.000Z","2023-10-21T12:56:17.000Z","","drax","","","","2","NVIDIA A40","0","0.15","0.00001","780","bert-base-cased","156","1","","0.9","0.999","0","5","","1","false","linear","128","20","0","/home/lange/fantastic-umbrella/runs/sweep_12a_02_modded/run_012","false","pcid_0040","32","32","false","all","12a","5","rte","","false","0.1","0.01","true","0.6425992779783394","9","1.123613166809082","0.17851812411577272","","0.939089298248291","0.4025486409664154","","","","0.958803117275238","0.4297125041484833","0.6678700361010831","4","195","0.6610738277435303","1","78","","","","","","","","","","","","","","","","","","","","",""
