"Name","Runtime","Notes","State","Tags","ID","User","Group","Job Type","Created","Updated","End Time","Sweep","Hostname","Description","Commit","GitHub","GPU Count","GPU Type","early_stopping_patience","evaluation_steps","learning_rate","max_train_steps","num_train_epochs","num_warmup_steps","output_dir","param_config_id","run_generation","seed","beta1","beta2","catch_dropout","dataset_seed","early_stopping_min_delta","gradient_accumulation_steps","ignore_mismatched_sizes","insert_dropout","lr_scheduler_type","max_length","model_name_or_path","original_gradient_fraction","pad_to_max_length","per_device_eval_batch_size","per_device_train_batch_size","push_to_hub","report_to","task","task_name","train_data_frac","training_size","use_modded","use_slow_tokenizer","warmup_steps_fraction","weight_decay","with_tracking","accuracy","avg_grad_diff_all_classes","avg_grad_diff_per_class","best_accuracy","best_accuracy_epoch","best_accuracy_step","best_eval_loss","best_eval_loss_epoch","best_eval_loss_step","epoch","eval_loss","eval_p_max","eval_p_var","train_st1_loss","train_st1_p_max","train_st2_loss","train_st2_p_max","accuracy.max","accuracy_mm","avg_eval_p_max","avg_eval_p_var","avg_train_p0","avg_train_p_max","avg_train_p_var","best_f1","best_f1_epoch","best_f1_step","best_matthews_correlation","best_matthews_correlation_epoch","best_matthews_correlation_step","best_pearson","best_pearson_epoch","best_pearson_step","best_spearmanr","best_spearmanr_epoch","best_spearmanr_step","eval_loss.min","eval_loss_mm","eval_p_max_mm","eval_p_var_mm","f1","matthews_correlation","pearson","spearmanr","train_loss","train_p_max","train_p_var"
"16_S1_ID_044_VAN","583","-","finished","NEW_GRAD_OUTPUT, SWP1, vanilla","ajmst21t","ricu","","","2024-01-03T09:58:48.000Z","2024-01-03T10:08:31.000Z","2024-01-03T10:08:31.000Z","","drax","","","","2","NVIDIA A40","10","16","0.000008","800","100","80","/home/lange/fantastic-umbrella/runs/16_sweeps_01_vanilla/run_044","pcid_1274","16_sweeps","3","0.9","0.999","","1","0","1","false","0.1","linear","128","bert-base-uncased","0","false","128","32","false","all","","qnli","","256","","false","0.1","0.01","true","0.709683324180853","","","0.7285374336445176","49","400","0.6418546438217163","17","144","69","1.247247338294983","0.9594147205352784","0.4381781220436096","","","0.007150259334594011","0.9929179549217224","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"16_S1_ID_043_VAN","516","-","finished","NEW_GRAD_OUTPUT, SWP1, vanilla","ns2ywmry","ricu","","","2024-01-03T09:49:52.000Z","2024-01-03T09:58:28.000Z","2024-01-03T09:58:28.000Z","","drax","","","","2","NVIDIA A40","10","16","0.000008","800","100","80","/home/lange/fantastic-umbrella/runs/16_sweeps_01_vanilla/run_043","pcid_1274","16_sweeps","2","0.9","0.999","","1","0","1","false","0.1","linear","128","bert-base-uncased","0","false","128","32","false","all","","qnli","","256","","false","0.1","0.01","true","0.7497711879919459","","","0.7541643785465861","41","336","0.5539261698722839","13","112","61","0.9250627756118774","0.9544102549552916","0.4299103915691376","","","0.007371407933533192","0.9926716685295104","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"16_S1_ID_042_VAN","809","-","finished","NEW_GRAD_OUTPUT, SWP1, vanilla","5o35rxe0","ricu","","","2024-01-03T09:36:00.000Z","2024-01-03T09:49:29.000Z","2024-01-03T09:49:29.000Z","","drax","","","","2","NVIDIA A40","10","16","0.000008","800","100","80","/home/lange/fantastic-umbrella/runs/16_sweeps_01_vanilla/run_042","pcid_1274","16_sweeps","1","0.9","0.999","","1","0","1","false","0.1","linear","128","bert-base-uncased","0","false","128","32","false","all","","qnli","","256","","false","0.1","0.01","true","0.7323814753798279","","","0.736591616328025","89","720","0.5857957005500793","11","96","99","1.077614188194275","0.966746747493744","0.4470307528972626","","","0.005998685024678707","0.9940233826637268","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"16_S1_ID_041_VAN","469","-","finished","NEW_GRAD_OUTPUT, SWP1, vanilla","xqg8h8la","ricu","","","2024-01-03T09:27:51.000Z","2024-01-03T09:35:40.000Z","2024-01-03T09:35:40.000Z","","drax","","","","2","NVIDIA A40","10","16","0.00001","800","100","80","/home/lange/fantastic-umbrella/runs/16_sweeps_01_vanilla/run_041","pcid_1273","16_sweeps","3","0.9","0.999","","1","0","1","false","0.1","linear","128","bert-base-uncased","0","false","128","32","false","all","","qnli","","256","","false","0.1","0.01","true","0.724510342302764","","","0.728171334431631","37","304","0.6230283379554749","13","112","57","1.1928458213806152","0.958582878112793","0.4376258254051209","","","0.005483721848577261","0.9945653080940248","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"16_S1_ID_040_VAN","608","-","finished","NEW_GRAD_OUTPUT, SWP1, vanilla","hsdsafl2","ricu","","","2024-01-03T09:17:22.000Z","2024-01-03T09:27:30.000Z","2024-01-03T09:27:30.000Z","","drax","","","","2","NVIDIA A40","10","16","0.00001","800","100","80","/home/lange/fantastic-umbrella/runs/16_sweeps_01_vanilla/run_040","pcid_1273","16_sweeps","2","0.9","0.999","","1","0","1","false","0.1","linear","128","bert-base-uncased","0","false","128","32","false","all","","qnli","","256","","false","0.1","0.01","true","0.7451949478308622","","","0.7505033864177192","55","448","0.5578058958053589","11","96","75","1.09977924823761","0.9672340750694276","0.4501173794269562","","","0.0037054833956062794","0.9963050484657288","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"16_S1_ID_039_VAN","592","-","finished","NEW_GRAD_OUTPUT, SWP1, vanilla","nlan3fdp","ricu","","","2024-01-03T09:07:09.000Z","2024-01-03T09:17:01.000Z","2024-01-03T09:17:01.000Z","","drax","","","","2","NVIDIA A40","10","16","0.00001","800","100","80","/home/lange/fantastic-umbrella/runs/16_sweeps_01_vanilla/run_039","pcid_1273","16_sweeps","1","0.9","0.999","","1","0","1","false","0.1","linear","128","bert-base-uncased","0","false","128","32","false","all","","qnli","","256","","false","0.1","0.01","true","0.7448288486179755","","","0.7455610470437488","53","432","0.5791906118392944","11","96","73","1.1000983715057373","0.9699425101280212","0.4529705047607422","","","0.004427453503012657","0.995583713054657","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"16_S1_ID_038_VAN","311","-","finished","NEW_GRAD_OUTPUT, SWP1, vanilla","lp72nkzi","ricu","","","2024-01-03T09:01:36.000Z","2024-01-03T09:06:47.000Z","2024-01-03T09:06:47.000Z","","drax","","","","2","NVIDIA A40","10","16","0.00002","800","100","80","/home/lange/fantastic-umbrella/runs/16_sweeps_01_vanilla/run_038","pcid_1272","16_sweeps","3","0.9","0.999","","1","0","1","false","0.1","linear","128","bert-base-uncased","0","false","128","32","false","all","","qnli","","256","","false","0.1","0.01","true","0.718652754896577","","","0.7340289218378181","17","144","0.6194392442703247","9","80","37","1.2737987041473389","0.9601438641548156","0.44037190079689026","","","0.003117908723652363","0.9969186782836914","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"16_S1_ID_037_VAN","372","-","finished","NEW_GRAD_OUTPUT, SWP1, vanilla","j6dp055e","ricu","","","2024-01-03T08:55:02.000Z","2024-01-03T09:01:14.000Z","2024-01-03T09:01:14.000Z","","drax","","","","2","NVIDIA A40","10","16","0.00002","800","100","80","/home/lange/fantastic-umbrella/runs/16_sweeps_01_vanilla/run_037","pcid_1272","16_sweeps","2","0.9","0.999","","1","0","1","false","0.1","linear","128","bert-base-uncased","0","false","128","32","false","all","","qnli","","256","","false","0.1","0.01","true","0.7501372872048325","","","0.7552626761852462","25","208","0.5684441328048706","9","80","45","1.1708452701568604","0.9734390377998352","0.4594359397888184","","","0.0023939479142427444","0.9976098537445068","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"16_S1_ID_036_VAN","262","-","finished","NEW_GRAD_OUTPUT, SWP1, vanilla","5w4m0apm","ricu","","","2024-01-03T08:50:19.000Z","2024-01-03T08:54:41.000Z","2024-01-03T08:54:41.000Z","","drax","","","","2","NVIDIA A40","10","16","0.00002","800","100","80","/home/lange/fantastic-umbrella/runs/16_sweeps_01_vanilla/run_036","pcid_1272","16_sweeps","1","0.9","0.999","","1","0","1","false","0.1","linear","128","bert-base-uncased","0","false","128","32","false","all","","qnli","","256","","false","0.1","0.01","true","0.7440966501922021","","","0.7451949478308622","11","96","0.5918546915054321","5","48","31","1.084925651550293","0.9682430028915404","0.4502516090869904","","","0.004602714441716671","0.9954092502593994","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"16_S1_ID_035_VAN","263","-","finished","NEW_GRAD_OUTPUT, SWP1, vanilla","hiyss574","ricu","","","2024-01-03T08:45:35.000Z","2024-01-03T08:49:58.000Z","2024-01-03T08:49:58.000Z","","drax","","","","2","NVIDIA A40","10","16","0.00004","800","100","80","/home/lange/fantastic-umbrella/runs/16_sweeps_01_vanilla/run_035","pcid_1307","16_sweeps","3","0.9","0.999","","1","0","1","false","0.1","linear","128","bert-base-uncased","0","false","128","32","false","all","","qnli","","256","","false","0.1","0.01","true","0.7003477942522424","","","0.7181036060772469","11","96","0.5857889652252197","7","64","31","1.4058754444122314","0.956939697265625","0.4367566704750061","","","0.001983074238523841","0.9980298280715942","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
