"Name","Runtime","Notes","State","Tags","beta1","beta2","catch_dropout","early_stopping_patience","evaluation_steps","insert_dropout","learning_rate","output_dir","param_config_id","seed","weight_decay","accuracy","avg_grad_diff_all_classes","avg_grad_diff_per_class","best_accuracy","best_accuracy_epoch","best_accuracy_step","best_eval_loss","best_eval_loss_epoch","best_eval_loss_step","epoch","eval_loss","eval_p_max","eval_p_var","train_loss","train_p_max","train_p_var","train_st1_loss","train_st1_p_max","train_st2_loss","train_st2_p_max","accuracy_mm","eval_loss_mm","eval_p_max_mm","eval_p_var_mm"
"16_modded_base_sweep_01_modded/run_27","845","-","finished","modded","0.9","0.999","0","10","16","0.05","0.000004","/home/lange/fantastic-umbrella/runs/16_modded_base_sweep_01_modded/run_27","pcid_0499","1","0.01","0.7252425407285374","0.0019754869863390923","[0.0019754869863390923,0.001975486520677805]","0.7263408383671975","71","576","0.591375470161438","19","160","91","0.9646005034446716","0.9484538435935974","0.4193607270717621","","","","0.009135634638369083","0.9909074902534484","0.010531100444495678","0.9895307421684264","","","",""
"16_modded_base_sweep_01_modded/run_26","1174","-","finished","modded","0.9","0.999","0","10","16","0.05","0.000008","/home/lange/fantastic-umbrella/runs/16_modded_base_sweep_01_modded/run_26","pcid_0498","3","0.01","0.700164744645799","0.00038453686283901334","[0.00038453840534202754,0.0003845352912321687]","0.7012630422844591","111","896","0.6521624326705933","19","160","131","1.3559794425964355","0.9580094814300536","0.4377186894416809","","","","0.0009342492558062075","0.9990661144256592","0.0012977637816220522","0.9987034201622008","","","",""
"16_modded_base_sweep_01_modded/run_25","514","-","finished","modded","0.9","0.999","0","10","16","0.05","0.000008","/home/lange/fantastic-umbrella/runs/16_modded_base_sweep_01_modded/run_25","pcid_0498","2","0.01","0.7331136738056013","0.002038984326645732","[0.002038986189290881,0.00203898292966187]","0.738788211605345","33","272","0.5849667191505432","15","128","53","0.996645212173462","0.9553607702255248","0.4312972128391266","","","","0.005996345076709986","0.994023323059082","0.007743555121123791","0.9923017621040344","","","",""
"16_modded_base_sweep_01_modded/run_24","769","-","finished","modded","0.9","0.999","0","10","16","0.05","0.000008","/home/lange/fantastic-umbrella/runs/16_modded_base_sweep_01_modded/run_24","pcid_0498","1","0.01","0.7300018304960645","0.0007245466113090515","[0.0007245473680086434,0.0007245457381941378]","0.7309170785282811","63","512","0.592052161693573","13","112","83","1.1551060676574707","0.9662460684776306","0.4479858875274658","","","","0.002933765295892954","0.9970706701278688","0.003543086815625429","0.9964637756347656","","","",""
"16_modded_base_sweep_01_modded/run_23","1041","-","finished","modded","0.9","0.999","0","10","16","0.05","0.00001","/home/lange/fantastic-umbrella/runs/16_modded_base_sweep_01_modded/run_23","pcid_0497","3","0.01","0.7034596375617792","0.00034337060060352087","[0.0003433707752265036,0.00034337042598053813]","0.704374885593996","97","784","0.6611008644104004","21","176","117","1.4179366827011108","0.9621700644493104","0.4438892304897308","","","","0.0007036352762952447","0.999296486377716","0.001037942711263895","0.9989629983901978","","","",""
"16_modded_base_sweep_01_modded/run_22","454","-","finished","modded","0.9","0.999","0","10","16","0.05","0.00001","/home/lange/fantastic-umbrella/runs/16_modded_base_sweep_01_modded/run_22","pcid_0497","2","0.01","0.7303679297089511","0.0016551623120903969","[0.0016551674343645573,0.0016551571898162365]","0.7393373604246751","27","224","0.5891498923301697","15","128","47","1.000245451927185","0.955229103565216","0.4311785697937012","","","","0.005359855480492115","0.9946557879447936","0.006834165193140507","0.9931988716125488","","","",""
"16_modded_base_sweep_01_modded/run_21","586","-","finished","modded","0.9","0.999","0","10","16","0.05","0.00001","/home/lange/fantastic-umbrella/runs/16_modded_base_sweep_01_modded/run_21","pcid_0497","1","0.01","0.729269632070291","0.0007271202048286796","[0.0007271227659657598,0.0007271177601069212]","0.7320153761669412","43","352","0.5809369087219238","13","112","63","1.1343295574188232","0.9663439989089966","0.44765347242355347","","","","0.0032164982985705137","0.9967889189720154","0.00378118478693068","0.996226727962494","","","",""
"16_modded_base_sweep_01_modded/run_20","1087","-","finished","modded","0.9","0.999","0","10","16","0.05","0.00002","/home/lange/fantastic-umbrella/runs/16_modded_base_sweep_01_modded/run_20","pcid_0496","3","0.01","0.7040087863811093","0.00009901142766466364","[0.00009901390876621008,0.00009900896111503243]","0.7058392824455427","103","832","0.677873969078064","13","112","123","1.677466630935669","0.9709246158599854","0.457218736410141","","","","0.00023800991766620427","0.999761998653412","0.0003333457570988685","0.999666690826416","","","",""
"16_modded_base_sweep_01_modded/run_19","688","-","finished","modded","0.9","0.999","0","10","16","0.05","0.00002","/home/lange/fantastic-umbrella/runs/16_modded_base_sweep_01_modded/run_19","pcid_0496","2","0.01","0.7457440966501923","0.00021467845363076776","[0.00021468066552188247,0.00021467625629156828]","0.7464762950759656","53","432","0.5865404605865479","11","96","73","1.417694330215454","0.9822348356246948","0.47297707200050354","","","","0.0007823649793863297","0.9992178082466124","0.000980367185547948","0.9990203380584716","","","",""
"16_modded_base_sweep_01_modded/run_18","455","-","finished","modded","0.9","0.999","0","10","16","0.05","0.00002","/home/lange/fantastic-umbrella/runs/16_modded_base_sweep_01_modded/run_18","pcid_0496","1","0.01","0.738788211605345","0.00035922747338190675","[0.0003592261637095362,0.00035922881215810776]","0.7402526084568918","29","240","0.5730387568473816","11","96","49","1.2206318378448486","0.9737220406532288","0.4589126110076904","","","","0.0016246752347797155","0.9983766674995422","0.0019206043798476455","0.9980814456939696","","","",""
